company,title,sector,location,career,education,category
(주)비에이블컨설팅그룹,"[대기업] AI서비스개발(LLM) (석사,박사급)",데이터엔지니어앱개발웹개발검색엔진데이터마이닝 외,서울 중구,경력 3년↑ · 정규직,석사↑,Data Engineer
(주)사람인에이치에스,[연봉협의/식대지원] IT 운영 엔지니어 인재 채용,기술지원데이터엔지니어백엔드/서버개발보안컨설팅앱개발 외,서울전체 외,경력(년수무관) · 계약직 외,학력무관,Data Engineer
테크바이오기업 리드급 시니어 개발자,테크바이오기업 리드급 시니어 개발자,데이터분석가데이터엔지니어백엔드/서버개발프론트엔드제약/바이오 외,서울전체 외,경력 7년↑ · 정규직,대학교(4년)↑,Data Analysis
에이스휴먼파워(주),[월300/대기업/셔틀버스O] 데이터라벨링 업무 및 사무보조 채용,기술지원데이터분석가검색엔진네트워크데이터라벨링 외,서울 송파구 외,경력무관 · 계약직 외,학력무관,Data Analysis
(주)밸류에이치알,[강남/복리多/정규직] 브랜드전문유통기업 AI개발 채용,게임개발데이터엔지니어백엔드/서버개발앱개발웹개발 외,서울 강남구,경력무관 · 정규직,"대학(2,3년)↑",Data Engineer
굿커리어,글로벌 부품 유통회사/ 웹디자이너/ 대리급,데이터분석가데이터엔지니어웹개발웹마스터프론트엔드 외,서울 강남구,3 ~ 7년 · 정규직,"대학(2,3년)↑",Data Analysis
굿커리어,글로벌 부품 유통회사/ UX기획/ 대리~부장,데이터분석가데이터엔지니어웹개발웹마스터프론트엔드 외,서울 강남구,3 ~ 16년 · 정규직,"대학(2,3년)↑",Data Analysis
(주)사람인에이치에스,[외국계/업계1위/경력별 협의] BI개발자(과장급) 인재 채용,게임개발기술지원데이터분석가데이터엔지니어백엔드/서버개발 외,서울전체 외,경력 4년↑ · 계약직 외,학력무관,Data Analysis
(주)맨파워그룹코리아,[서울역] 글로벌 제약회사 'L'사 Data Engineer (12M),기술지원데이터분석가데이터엔지니어백엔드/서버개발SE(시스템엔지니어) 외,서울 중구,2 ~ 10년 · 계약직 외,학력무관,Data Analysis
파워에이치알,[주요SI업체] AI Scientist,딥러닝머신러닝AI(인공지능)PytorchTensorflow 외,서울 강서구,3 ~ 16년 · 정규직,대학교(4년)↑,Deep Learning
파워에이치알,[주요SI업체] Robotics 분야 Engineer,딥러닝머신러닝솔루션AI(인공지능)Pytorch 외,서울 강서구,2 ~ 15년 · 정규직,석사↑,Deep Learning
(주)하이스트컨설팅그룹,데이터 사이언티스트 제안드립니다.,데이터분석가데이터 사이언티스트,서울 서초구,경력 8년↑ · 정규직,대학교(4년)↑,Data Analysis
(주)스카우트파트너스,[유망 로봇 벤처기업] AI로보틱스 엔지니어,SE(시스템엔지니어)딥러닝머신러닝모델링음성인식 외,서울 강남구,경력 3년↑ · 정규직,대학교(4년)↑,Deep Learning
(주)비비파트너스,[ ML Researcher/Engineer(신입가)]-AI기반 웨어러블 의료기기,딥러닝머신러닝의료기기연구,서울 강남구,신입 · 경력 · 정규직,석사↑,Deep Learning
(주)키스템프그룹,"[강남/연~7,280만] AI머신비전(PCB 도메인) 기업-Field Engineer",데이터엔지니어SE(시스템엔지니어)딥러닝알고리즘컴퓨터비전 외,서울 강남구,경력 5년↑ · 정규직,대학교(4년)↑,Data Engineer
(주)스카우트플랜,IT분야 전문 헤드헌터 모집 (신입/경력),기술지원데이터분석가보안컨설팅정보보안프론트엔드 외,서울 강남구,경력무관 · 위촉직 외,대학교(4년)↑,Data Analysis
파워에이치알,[주요SI업체] AI 플랫폼 Architect(경력 4년 - 15년),SE(시스템엔지니어)딥러닝머신러닝미들웨어클라우드 외,서울 강서구,4 ~ 15년 · 정규직,대학교(4년)↑,Deep Learning
파워에이치알,[주요SI업체] AI Engineer,딥러닝머신러닝AI(인공지능)AWSC++ 외,서울 강서구,3 ~ 15년 · 정규직,대학교(4년)↑,Deep Learning
파워에이치알,[주요SI업체] AI 사업개발(경력 3년 - 15년),딥러닝머신러닝AI(인공지능)PytorchTensorflow 외,서울 강서구,3 ~ 15년 · 정규직,대학교(4년)↑,Deep Learning
파워에이치알,[주요SI업체] AI Solution Architecture,SE(시스템엔지니어)딥러닝머신러닝클라우드DevOps 외,서울 강서구,3 ~ 15년 · 정규직,대학교(4년)↑,Deep Learning
라인서치,유명 RF반도체 Controller 설계 엔지니어,데이터마이닝딥러닝머신러닝임베디드FPGA 외,서울 서초구,7 ~ 20년 · 정규직,대학교(4년)↑,Deep Learning
라인서치,유명 중견기업 계열사 RF반도체 Tx module designer,데이터마이닝딥러닝머신러닝임베디드FPGA 외,서울 서초구,5 ~ 15년 · 정규직,대학교(4년)↑,Deep Learning
라인서치,유명 RF반도체 모듈 설계 엔지니어,데이터마이닝딥러닝머신러닝임베디드FPGA 외,서울 서초구,8 ~ 20년 · 정규직,대학교(4년)↑,Deep Learning
